Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,pose.position.x,pose.position.y,pose.position.z,pose.orientation.x,pose.orientation.y,pose.orientation.z,pose.orientation.w
1730394320.1093683,4151,1730394320,109100580,map,2.4378805541992192,-0.1446435546875,0.0,0.0,0.0,0.7028671836629273,0.7113211104204238
1730394320.1449063,4152,1730394320,144697666,map,2.4378805541992192,-0.1446435546875,0.0,0.0,0.0,0.7028671836629273,0.7113211104204238
1730394320.1740727,4153,1730394320,173824548,map,2.4378805541992192,-0.1446435546875,0.0,0.0,0.0,0.7028671836629273,0.7113211104204238
1730394320.2052312,4154,1730394320,204737186,map,2.4378994750976557,-0.14687927246093757,0.0,0.0,0.0,0.7028671836629273,0.7113211104204238
1730394320.2415223,4155,1730394320,240775585,map,2.4378805541992192,-0.1446435546875,0.0,0.0,0.0,0.7028671836629273,0.7113211104204238
1730394320.2710276,4156,1730394320,270643472,map,2.4378805541992192,-0.1446435546875,0.0,0.0,0.0,0.7028671836629273,0.7113211104204238
1730394320.3040278,4157,1730394320,303665637,map,2.4378619384765625,-0.1424079895019532,0.0,0.0,0.0,0.7028671836629273,0.7113211104204238
1730394320.3423235,4158,1730394320,342088460,map,2.4378619384765625,-0.1424079895019532,0.0,0.0,0.0,0.7028671836629273,0.7113211104204238
1730394320.3723347,4159,1730394320,372110366,map,2.4378619384765625,-0.1424079895019532,0.0,0.0,0.0,0.7028671836629273,0.7113211104204238
1730394320.409512,4160,1730394320,409208059,map,2.4378805541992192,-0.1446435546875,0.0,0.0,0.0,0.7028671836629273,0.7113211104204238
1730394320.4438875,4161,1730394320,443679571,map,2.4378805541992192,-0.1446435546875,0.0,0.0,0.0,0.7028671836629273,0.7113211104204238
1730394320.4699888,4162,1730394320,469594478,map,2.4378805541992192,-0.1446435546875,0.0,0.0,0.0,0.7028671836629273,0.7113211104204238
1730394320.5061374,4163,1730394320,505736351,map,2.4357107543945316,-0.14462814331054674,0.0,0.0,0.0,0.7028671836629273,0.7113211104204238
1730394320.5509417,4164,1730394320,550592184,map,2.4378805541992192,-0.1446435546875,0.0,0.0,0.0,0.7028671836629273,0.7113211104204238
1730394320.5694253,4165,1730394320,569240808,map,2.4378619384765625,-0.1424079895019532,0.0,0.0,0.0,0.7028671836629273,0.7113211104204238
1730394320.6048539,4166,1730394320,604411125,map,2.4357107543945316,-0.14462814331054674,0.0,0.0,0.0,0.7028671836629273,0.7113211104204238
1730394320.6499207,4167,1730394320,649582147,map,2.4378994750976557,-0.14687927246093757,0.0,0.0,0.0,0.7028671836629273,0.7113211104204238
1730394320.6690872,4168,1730394320,668825149,map,2.4378805541992192,-0.1446435546875,0.0,0.0,0.0,0.7028671836629273,0.7113211104204238
1730394320.7056115,4169,1730394320,705295562,map,2.4378805541992192,-0.1446435546875,0.0,0.0,0.0,0.7028671836629273,0.7113211104204238
1730394320.7387035,4170,1730394320,738505125,map,2.4378805541992192,-0.1446435546875,0.0,0.0,0.0,0.7028671836629273,0.7113211104204238
1730394320.7700107,4171,1730394320,768965721,map,2.4378805541992192,-0.1446435546875,0.0,0.0,0.0,0.7028671836629273,0.7113211104204238
1730394320.8052301,4172,1730394320,804744720,map,2.4378805541992192,-0.1446435546875,0.0,0.0,0.0,0.7028671836629273,0.7113211104204238
1730394320.83979,4173,1730394320,839421510,map,2.4378805541992192,-0.1446435546875,0.0,0.0,0.0,0.7028671836629273,0.7113211104204238
1730394320.8689291,4174,1730394320,868605375,map,2.4378805541992192,-0.1446435546875,0.0,0.0,0.0,0.7028671836629273,0.7113211104204238
1730394320.9048367,4175,1730394320,904362916,map,2.4378805541992192,-0.1446435546875,0.0,0.0,0.0,0.7028671836629273,0.7113211104204238
